run,generation,best_fitness,best_completion,average_fitness,average_completion
1,1,3053.9534912109375,0.8721652626991272,297.4875717163086,0.23930621991554896
1,2,3053.9534912109375,0.8721652626991272,565.4245261128743,0.35767136802275973
1,3,3053.9534912109375,0.8721652626991272,869.6702241770427,0.4384235437959433
1,4,3053.9534912109375,0.8721652626991272,1304.2377135213217,0.5214455777903398
1,5,3210.7503356933594,0.9161072373390198,1752.5470236714682,0.5895865973581871
1,6,3210.7503356933594,0.9161072373390198,2258.4133979288736,0.6976295450826486
1,7,14177.0,1.0,2547.596107762655,0.7502927481383085
1,8,14177.0,1.0,2861.083629887899,0.777638235638539
1,9,14177.0,1.0,2933.103110961914,0.7204985772818326
1,10,14177.0,1.0,3811.9355880991616,0.7556299984455108
1,11,14177.0,1.0,5369.154699350993,0.7590241262565056
1,12,14257.0,1.0,9051.104381866455,0.8202727487683297
1,13,14257.0,1.0,11080.23046836853,0.8860722007850806
1,14,14257.0,1.0,11534.204980112712,0.9015703305602074
1,15,14257.0,1.0,11821.411350987752,0.8986520112802585
1,16,14257.0,1.0,11743.116321996053,0.9007100197424491
1,17,14257.0,1.0,11546.564085388183,0.9005017357816298
1,18,14260.0,1.0,11502.808326975504,0.8913144205758969
1,19,14262.5,1.0,11655.251245117188,0.8901249347875516
1,20,14262.5,1.0,11400.960007425943,0.8810673585534096
1,21,14262.5,1.0,11118.174677861532,0.8803008771439393
1,22,14265.5,1.0,11530.6207278951,0.8915408358474572
1,23,14265.5,1.0,11617.670043182374,0.8978838918358087
1,24,14265.5,1.0,12402.006794001261,0.9280590283622344
1,25,14265.5,1.0,11414.831727320354,0.8814260082940261
1,26,14265.5,1.0,11634.321643575033,0.8960197414209445
1,27,14265.5,1.0,11818.865557708741,0.899652502288421
1,28,14265.5,1.0,11434.61056678772,0.8829770263036092
1,29,14265.5,1.0,11579.577407404582,0.896370015318195
1,30,14265.5,1.0,11516.4606518809,0.8943224689861139
1,31,14268.0,1.0,11496.142574234009,0.8935482083509366
1,32,14268.0,1.0,11901.490621592204,0.9095114379872878
1,33,14268.0,1.0,12382.11989634196,0.9217112896591425
1,34,14268.0,1.0,11133.483863550822,0.8674131615459919
1,35,14268.0,1.0,11822.159846471151,0.8984962076942126
1,36,14268.0,1.0,11019.646437021891,0.8730599657942851
1,37,14268.0,1.0,11199.624495747885,0.8729627784093221
1,38,14268.0,1.0,11585.889230626424,0.8887236660718918
1,39,14268.0,1.0,11514.179907353719,0.8833075995743275
1,40,14268.0,1.0,12032.091394704183,0.9122915288557609
1,41,14268.0,1.0,11411.062581939697,0.8824246699362993
1,42,14268.0,1.0,11819.465834096272,0.8995170264442762
1,43,14268.0,1.0,11769.901581878663,0.8990999901791413
1,44,14268.0,1.0,11552.897075856526,0.901958655839165
1,45,14268.0,1.0,11716.338670679728,0.8959444186836482
1,46,14268.0,1.0,12081.615326944988,0.9053062966962655
1,47,14268.0,1.0,12086.377266871134,0.9130658573160569
1,48,14268.0,1.0,11477.221479619344,0.8856518581757943
1,49,14268.0,1.0,11955.680354563396,0.9161833996077379
1,50,14268.0,1.0,11989.98361114502,0.9083897015949091
1,51,14268.0,1.0,11437.33756884257,0.8795832808067401
1,52,14268.0,1.0,11610.122923431396,0.8954257562259833
1,53,14271.0,1.0,11770.00291806539,0.9031094487011433
1,54,14271.0,1.0,11765.106287027995,0.8954483534644048
1,55,14271.0,1.0,12041.022618993124,0.909783102919658
1,56,14271.0,1.0,11295.57194366455,0.8727719986438751
1,57,14271.0,1.0,12074.731757685344,0.9092909741650025
1,58,14271.0,1.0,11213.921666285198,0.8691691781083742
1,59,14271.0,1.0,11916.941819178262,0.8985717710107565
1,60,14271.0,1.0,12106.519004109701,0.9058530894915263
1,61,14271.0,1.0,11863.365033493043,0.893180670440197
1,62,14271.0,1.0,11561.446963144937,0.884020084515214
1,63,14271.0,1.0,11876.100133565267,0.893965733697017
1,64,14271.0,1.0,11704.17833213806,0.890676569690307
1,65,14271.0,1.0,11677.687775472004,0.8833681615193685
1,66,14271.0,1.0,11958.070591812133,0.8977930060774088
1,67,14271.0,1.0,11640.953675486247,0.8876654038826625
1,68,14271.0,1.0,12004.316293029786,0.9030140337347984
1,69,14271.0,1.0,11545.498719940186,0.8815471514811118
1,70,14271.0,1.0,11661.241860605876,0.8942872392882903
1,71,14271.0,1.0,11538.771776529948,0.8780176404118538
1,72,14271.0,1.0,11960.874842274983,0.9010041582832734
1,73,14271.0,1.0,11723.682828063966,0.8848895961542924
1,74,14271.0,1.0,11514.12285466512,0.8808049015700817
1,75,14271.0,1.0,11990.99573600769,0.9003145913531383
1,76,14271.0,1.0,11942.07447962443,0.9055535735438267
1,77,14271.0,1.0,12056.838166809082,0.9051478314151367
1,78,14271.0,1.0,11285.276578877767,0.8704073725392422
1,79,14271.0,1.0,11169.172289530436,0.8663330175479254
1,80,14271.0,1.0,12086.262292912801,0.9106979095439116
1,81,14271.0,1.0,11680.335285593668,0.8880545724928379
1,82,14271.0,1.0,11961.077308120728,0.8979163833210866
1,83,14271.0,1.0,11676.397484614054,0.882196694513162
1,84,14271.0,1.0,11289.776102193196,0.8718311531593402
1,85,14271.0,1.0,11753.463298136394,0.893927462498347
1,86,14271.0,1.0,11792.267745030722,0.894249790435036
1,87,14271.0,1.0,11517.41637161255,0.8798190405716498
1,88,14271.0,1.0,11637.802082621256,0.8824642382065455
1,89,14271.0,1.0,11847.056821670532,0.8972850781679154
1,90,14271.0,1.0,11895.628880259195,0.9021480806171894
1,91,14271.0,1.0,11650.713031438192,0.8879643075664838
1,92,14271.0,1.0,12156.008302179973,0.9087544909616312
1,93,14271.0,1.0,11964.53325205485,0.9015747008472681
1,94,14271.0,1.0,11768.243848775228,0.886739559272925
1,95,14271.0,1.0,11262.479562505087,0.8732468507687251
1,96,14271.0,1.0,11842.391149088542,0.8959946949779988
1,97,14271.0,1.0,11942.655816319784,0.9029181737701099
1,98,14271.0,1.0,11522.047015202841,0.8822422344237566
1,99,14271.0,1.0,11601.63247426351,0.8837193597853183
1,100,14271.0,1.0,11663.124810892741,0.8878189697364967
1,101,14271.0,1.0,11724.540309219361,0.892022116035223
1,102,14271.0,1.0,11867.640607884725,0.9019168749948343
1,103,14271.0,1.0,11681.440062967937,0.8922433076798916
1,104,14271.0,1.0,11991.62655456543,0.9052819025764862
1,105,14271.0,1.0,12055.603535893759,0.9130458052953084
1,106,14271.0,1.0,11974.485549901327,0.899866654748718
1,107,14271.0,1.0,11874.795565388997,0.8926820999383926
1,108,14271.0,1.0,12032.892311121623,0.9070867384721836
1,109,14271.0,1.0,12331.697150802613,0.9102875980486472
1,110,14271.0,1.0,11439.85745262146,0.8788591337203979
1,111,14271.0,1.0,11641.604380340576,0.8935588949173688
1,112,14271.0,1.0,11789.740860239664,0.8870634098847707
1,113,14271.0,1.0,11830.970320358276,0.8938693240781626
1,114,14271.0,1.0,11468.664315007527,0.8803975454469521
1,115,14271.0,1.0,11672.773292338054,0.881406312212348
1,116,14271.0,1.0,11836.376580835979,0.8961366849392652
1,117,14271.0,1.0,11746.723061548868,0.8917578302323819
1,118,14271.0,1.0,11429.737153625489,0.8770409039159616
1,119,14271.0,1.0,12099.75875096639,0.9075391980012258
1,120,14271.0,1.0,11854.632636617025,0.8997239002833763
1,121,14271.0,1.0,11762.674791514079,0.8949194292227427
1,122,14271.0,1.0,10952.35248957316,0.8582099186132351
1,123,14271.0,1.0,10802.710255126953,0.849404223933816
1,124,14271.0,1.0,11603.394106547037,0.8812807313601176
1,125,14271.0,1.0,11936.429628957112,0.9023601162930329
1,126,14271.0,1.0,11672.81264890035,0.8923563621441524
1,127,14271.0,1.0,11422.2105977122,0.8827359235783419
1,128,14271.0,1.0,12023.465359090169,0.9087037015457948
1,129,14271.0,1.0,11992.522468948364,0.9004281283418337
1,130,14271.0,1.0,12461.524069010416,0.9242333997289339
1,131,14271.0,1.0,12053.212690582275,0.9044542027761538
1,132,14271.0,1.0,11925.344581604004,0.8984510174642006
1,133,14271.0,1.0,12092.501097106933,0.9070278209944566
1,134,14271.0,1.0,11725.50329884847,0.879548964574933
1,135,14271.0,1.0,12412.143765767416,0.9187346816062927
1,136,14271.0,1.0,11927.764145685831,0.8903962923586368
1,137,14271.0,1.0,11716.793547210693,0.892238712583979
1,138,14271.0,1.0,12301.58391845703,0.9115491823852062
1,139,14271.0,1.0,11600.93726600647,0.8748363117376964
1,140,14271.0,1.0,11383.446092325847,0.8715969904263814
1,141,14271.0,1.0,11856.748452453614,0.8917515918364127
1,142,14271.0,1.0,11762.221854960124,0.8911648944268624
1,143,14271.0,1.0,11936.675207646687,0.9020176756878694
1,144,14271.0,1.0,11987.167322209676,0.9051379288484653
1,145,14271.0,1.0,11794.992157389323,0.8965696319192648
1,146,14271.0,1.0,11333.452416178385,0.8706182117015123
1,147,14271.0,1.0,11641.145330022176,0.8833928783982992
1,148,14271.0,1.0,11499.816154098511,0.8762690476328134
1,149,14271.0,1.0,11541.109406178792,0.878193080375592
1,150,14271.0,1.0,11939.098539581299,0.9022235653797785
1,151,14271.0,1.0,12111.365909957885,0.9037146181116501
1,152,14271.0,1.0,11684.252525431315,0.8872520263244709
1,153,14271.0,1.0,12449.930050964356,0.9309394719700018
1,154,14271.0,1.0,11657.885058085123,0.8807317792872588
1,155,14271.0,1.0,11949.15566426595,0.9044156870494287
1,156,14271.0,1.0,12059.438411127727,0.8985655023902654
1,157,14271.0,1.0,11805.575279591878,0.8971475176264843
1,158,14271.0,1.0,12006.599713185627,0.899003423427542
1,159,14271.0,1.0,11971.336991526287,0.898189763824145
1,160,14271.0,1.0,11690.374845428467,0.8881273467342059
1,161,14271.0,1.0,12102.942852961221,0.9077272913853327
1,162,14271.0,1.0,11935.401597849528,0.9005581100533406
1,163,14271.0,1.0,11874.171223398844,0.8943772886693477
1,164,14271.0,1.0,12110.593301518758,0.9009900310138861
1,165,14271.0,1.0,11998.721109390259,0.898826298515002
1,166,14271.0,1.0,11803.19237197876,0.8957551240175963
1,167,14271.0,1.0,11359.908400421142,0.8732129603127639
1,168,14271.0,1.0,11266.49456334432,0.8726008581618468
1,169,14271.0,1.0,12025.401987101237,0.903581982627511
1,170,14271.0,1.0,11653.660571339926,0.8857865817099809
1,171,14274.0,1.0,12060.562026850383,0.9152068030337492
1,172,14274.0,1.0,11814.641282958984,0.898516676252087
1,173,14274.0,1.0,11456.449666188559,0.8826190399626891
1,174,14274.0,1.0,11279.536014353434,0.8733272040386995
1,175,14274.0,1.0,10769.861877568563,0.8644352879375219
1,176,14274.0,1.0,11633.15807062785,0.9110267811516921
1,177,14274.0,1.0,11582.601091562907,0.8943078182389339
1,178,14274.0,1.0,11606.078976898194,0.8837082362920046
1,179,14274.0,1.0,11703.859097747803,0.8931137779106696
1,180,14274.0,1.0,12032.326140111287,0.9068106507261594
1,181,14274.0,1.0,11808.057667592366,0.8974524472405513
1,182,14274.0,1.0,11491.892770360311,0.885123751287659
1,183,14274.0,1.0,11522.767374064128,0.8808014635245005
1,184,14274.0,1.0,11473.696392796834,0.8752164268493652
1,185,14274.0,1.0,11989.126584981283,0.8971029661347468
1,186,14274.0,1.0,12065.434918085733,0.8991699101279179
1,187,14274.0,1.0,12385.337352294922,0.9189634747058153
1,188,14274.0,1.0,12114.595102132162,0.9097693839172523
1,189,14274.0,1.0,11896.414628016153,0.901797618890802
1,190,14274.0,1.0,11782.740972213745,0.8924898962676525
1,191,14274.0,1.0,11870.53908531189,0.898261411562562
1,192,14274.0,1.0,12132.544674199422,0.9028629752993583
1,193,14274.0,1.0,12034.86496058146,0.9039097856233518
1,194,14274.0,1.0,11556.839529622395,0.8828936276336511
1,195,14274.0,1.0,11910.393284606933,0.9036209498097499
1,196,14274.0,1.0,11814.102386449178,0.8975234335164229
1,197,14274.0,1.0,11937.33533200582,0.8946062566588322
1,198,14274.0,1.0,11947.081363271078,0.902148080021143
1,199,14274.0,1.0,11632.606986236573,0.8891732681790988
1,200,14274.0,1.0,11526.647346293132,0.8800049619128306
2,1,14177.5,1.0,349.95408917744953,0.24799837549527487
2,2,14177.5,1.0,840.1078411865234,0.37973241331676644
2,3,14334.0,1.0,1503.3984516398111,0.4665962069481611
2,4,14334.0,1.0,2623.4493306223553,0.541366526161631
2,5,14334.0,1.0,3859.344222056071,0.5949621798098087
2,6,14334.0,1.0,6329.0987852986655,0.6954928010950486
2,7,14334.0,1.0,8734.780561243693,0.7677014464139938
2,8,14334.0,1.0,10969.967528762818,0.8473345038294792
2,9,14334.0,1.0,10124.248264999389,0.8107924731820821
2,10,14334.0,1.0,10862.993401565553,0.8449058133363724
2,11,14334.0,1.0,11860.531394093832,0.8997048683712879
2,12,14334.0,1.0,12065.686194076538,0.9148935700207949
2,13,14337.0,1.0,11852.751182785034,0.9000558715313673
2,14,14340.0,1.0,11911.430752894084,0.9031497392306725
2,15,14345.0,1.0,11691.405672683715,0.8911515997846922
2,16,14345.0,1.0,12327.309964853923,0.9137124994645516
2,17,14345.0,1.0,12098.117679087321,0.9123279642810425
2,18,14345.0,1.0,12063.622393239339,0.9102202498912811
2,19,14345.0,1.0,11035.247081044516,0.8740504916012287
2,20,14345.0,1.0,11962.556502965292,0.9016043205807607
2,21,14345.0,1.0,11935.580704447428,0.8902334713439146
2,22,14345.0,1.0,12265.020736083985,0.9141010250896215
2,23,14345.0,1.0,11450.470793126424,0.8630091870576143
2,24,14345.0,1.0,12065.294631856283,0.8958470889429251
2,25,14345.0,1.0,11579.42330968221,0.8814225551237662
2,26,14345.0,1.0,11926.361070785522,0.8903645883997281
2,27,14345.0,1.0,11657.827049331665,0.8821784876038631
2,28,14345.0,1.0,11904.258858566283,0.8915895815938711
2,29,14345.0,1.0,11175.845655670166,0.8547082112481197
2,30,14345.0,1.0,11669.147298329672,0.8751126496742169
2,31,14345.0,1.0,11445.583701934815,0.8676228120923042
2,32,14345.0,1.0,11895.203469696045,0.8925910548120737
2,33,14345.0,1.0,12098.005733184815,0.895086062202851
2,34,14345.0,1.0,11868.093856302898,0.8854459495842457
2,35,14345.0,1.0,12081.428862584433,0.9000408389170964
2,36,14345.0,1.0,11258.94560470581,0.8594811593989531
2,37,14345.0,1.0,11977.764267018636,0.8920951366672913
2,38,14345.0,1.0,11986.601514205933,0.9026470223565897
2,39,14345.0,1.0,11823.55246673584,0.8862010125815868
2,40,14345.0,1.0,11924.447818196615,0.8859916042536498
2,41,14345.0,1.0,11569.529161783854,0.8788978750507037
2,42,14345.0,1.0,11664.138510513305,0.8720597817500433
2,43,14345.0,1.0,12176.798081232706,0.9012817459801833
2,44,14345.0,1.0,11054.651544240316,0.8562563349803288
2,45,14345.0,1.0,10928.449094060263,0.8497708469877641
2,46,14345.0,1.0,11423.91991704305,0.8687217488139868
2,47,14345.0,1.0,11152.275561065673,0.8544603773206473
2,48,14345.0,1.0,11431.811659317016,0.8710848540067673
2,49,14345.0,1.0,12288.438865025839,0.903761019607385
2,50,14345.0,1.0,11950.165194117228,0.8973546782632669
2,51,14345.0,1.0,11558.193361282349,0.8768452752629916
2,52,14345.0,1.0,11941.866594467163,0.9008241551369429
2,53,14347.5,1.0,11979.329248657226,0.8989347735792399
2,54,14347.5,1.0,11836.367124608358,0.8858994529644648
2,55,14347.5,1.0,11911.59148824056,0.8900125576804082
2,56,14347.5,1.0,11876.064682820637,0.886604044859608
2,57,14347.5,1.0,12079.793664296469,0.8928628351539374
2,58,14347.5,1.0,12146.25770884196,0.905577849422892
2,59,14350.5,1.0,11884.95581565857,0.8879767872144778
2,60,14350.5,1.0,12372.06275487264,0.9056846070537965
2,61,14350.5,1.0,11484.190758082072,0.858188581764698
2,62,14350.5,1.0,12305.244463653564,0.9119677718480428
2,63,14350.5,1.0,11808.538077952067,0.8871479046593109
2,64,14350.5,1.0,12195.301849899291,0.9013761925448974
2,65,14350.5,1.0,12370.026357828776,0.9053564498821894
2,66,14350.5,1.0,11693.284776153565,0.8762509612739087
2,67,14350.5,1.0,11567.25497314453,0.8776184388498465
2,68,14350.5,1.0,11966.136418228149,0.8920606427639722
2,69,14350.5,1.0,11987.71389755249,0.8980515595277151
2,70,14350.5,1.0,11203.200695521036,0.8608364711205164
2,71,14350.5,1.0,11748.717868906657,0.8799119002123674
2,72,14350.5,1.0,11821.865303497314,0.88168493407468
2,73,14350.5,1.0,11072.284588419596,0.8522569753477971
2,74,14350.5,1.0,11633.40332400004,0.8748737444231908
2,75,14350.5,1.0,11804.2345581309,0.8858639489362637
2,76,14350.5,1.0,11912.262585932414,0.8834692233800888
2,77,14350.5,1.0,12038.248560384114,0.8990909530222416
2,78,14350.5,1.0,11997.273702774048,0.8891028468807538
2,79,14350.5,1.0,11664.976657867432,0.8683160522083442
2,80,14350.5,1.0,11554.284072723389,0.8719064756234487
2,81,14350.5,1.0,11930.667917073568,0.8932014132042726
2,82,14350.5,1.0,12072.800855865478,0.8982329633831978
2,83,14350.5,1.0,11420.236582463582,0.8673814492672682
2,84,14350.5,1.0,11714.49293744405,0.8713934638847908
2,85,14350.5,1.0,11896.805581766765,0.8826946401347716
2,86,14350.5,1.0,11668.379433288574,0.8787497055530548
2,87,14350.5,1.0,11713.995534388225,0.8839050510774056
2,88,14350.5,1.0,11842.054558995565,0.8850854343175888
2,89,14350.5,1.0,11736.948036956786,0.8806715146948894
2,90,14350.5,1.0,11510.755322596233,0.873877991810441
2,91,14350.5,1.0,12171.133971430461,0.8985113986084858
2,92,14350.5,1.0,11414.01892115275,0.8630039460460345
2,93,14350.5,1.0,11518.307952626546,0.8811303639660278
2,94,14350.5,1.0,11998.744515635173,0.8925112706919511
2,95,14350.5,1.0,11816.261761601765,0.882319020057718
2,96,14350.5,1.0,10877.676808191934,0.8421651075035334
2,97,14350.5,1.0,11437.034492314657,0.8676054099450509
2,98,14350.5,1.0,11076.163822962442,0.8490821797897419
2,99,14350.5,1.0,10993.24152130127,0.8507184572766224
2,100,14350.5,1.0,11829.274582824706,0.8884523010502259
2,101,14350.5,1.0,11873.430720189412,0.8847206709037224
2,102,14350.5,1.0,11850.833736623128,0.8865688293427229
2,103,14350.5,1.0,11454.823720296225,0.8616630378365516
2,104,14350.5,1.0,11774.250895105997,0.8924433104445537
2,105,14350.5,1.0,11828.391571172078,0.881829978376627
2,106,14350.5,1.0,11910.70093460083,0.896752971286575
2,107,14350.5,1.0,11840.156693496705,0.8908028140167396
2,108,14350.5,1.0,11932.30805305481,0.8941550385206938
2,109,14350.5,1.0,11676.780863978069,0.8830844505876303
2,110,14350.5,1.0,11705.723801752727,0.8703261239329974
2,111,14350.5,1.0,11924.691914545694,0.8851728650679191
2,112,14350.5,1.0,12274.841291707357,0.9084003531436126
2,113,14350.5,1.0,12244.145483703613,0.9143866124749184
2,114,14350.5,1.0,11682.520538228353,0.8739662922670444
2,115,14353.5,1.0,11978.319693450927,0.8954887506614129
2,116,14353.5,1.0,12194.102161509196,0.903953506226341
2,117,14353.5,1.0,12079.997811482748,0.8948340925574303
2,118,14353.5,1.0,12123.119262619019,0.9073485723634561
2,119,14353.5,1.0,12392.54269549052,0.9136153279493252
2,120,14353.5,1.0,12213.846629155478,0.9042836253841718
2,121,14353.5,1.0,11929.135050150553,0.896478736102581
2,122,14353.5,1.0,11875.403380126952,0.8858876865853866
2,123,14353.5,1.0,12090.337183965048,0.8860670574009418
2,124,14353.5,1.0,11646.225596364338,0.893870116819938
2,125,14353.5,1.0,11540.772331517537,0.8737728858242432
2,126,14353.5,1.0,11923.683698883056,0.886538518940409
2,127,14353.5,1.0,11824.366710383098,0.8789114674180746
2,128,14353.5,1.0,11964.19086827596,0.8938549470156432
2,129,14353.5,1.0,11715.075703455606,0.8899473796536526
2,130,14353.5,1.0,11530.705138778687,0.8693917147070169
2,131,14353.5,1.0,11833.101070607503,0.8813919590661923
2,132,14353.5,1.0,11745.861293996175,0.8872148049871127
2,133,14353.5,1.0,11279.986184895834,0.8616289891799291
2,134,14353.5,1.0,11591.190787455242,0.8760191546877225
2,135,14353.5,1.0,11943.657735010784,0.8938513759275277
2,136,14353.5,1.0,12490.983206507364,0.9248382096240918
2,137,14353.5,1.0,11780.03508781433,0.8857342600574096
2,138,14353.5,1.0,12015.604782307943,0.8934894796957572
2,139,14353.5,1.0,12059.037676086426,0.9006045894076427
2,140,14353.5,1.0,11683.70913154602,0.8803626223901908
2,141,14353.5,1.0,12091.080641148885,0.8965788626670838
2,142,14353.5,1.0,11858.211420669555,0.8884076377749444
