run,generation,best_fitness,best_completion,average_fitness,average_completion
1,1,2064.5172729492188,0.6881723999977112,154.60822105407715,0.1502570712318023
1,2,2064.5172729492188,0.6881723999977112,279.5348988342285,0.261768633450071
1,3,2547.5072326660156,0.7282877564430237,411.1604229990641,0.3631637158493201
1,4,2551.0488891601562,0.7292996644973755,493.44860865275064,0.3980181986093521
1,5,3403.9664001464844,0.971811830997467,675.5808067321777,0.43328073841830095
1,6,3403.9664001464844,0.971811830997467,1017.9806676228841,0.4898816511034966
1,7,3403.9664001464844,0.971811830997467,1537.7805878194174,0.5801209854334592
1,8,3403.9664001464844,0.971811830997467,1818.8895069630942,0.6147884366412958
1,9,3409.12646484375,0.9732861518859863,1953.7578701019288,0.6499122388412555
1,10,14720.0,1.0,2185.2357145436604,0.6962286735574404
1,11,14720.0,1.0,2571.8032014465334,0.7630534133811792
1,12,14720.0,1.0,3047.6918626912434,0.842008932630221
1,13,14720.0,1.0,3473.1826014200847,0.8256577577690284
1,14,14720.0,1.0,4390.587047475179,0.8077779006461302
1,15,14720.0,1.0,6777.691029256185,0.8154465127984682
1,16,14720.0,1.0,10250.647485961914,0.8714353211969137
1,17,14720.0,1.0,11922.09272702535,0.9076745077222586
1,18,14720.0,1.0,12960.614428075154,0.9310156454890967
1,19,14720.0,1.0,12376.796722208659,0.9165510272234678
1,20,14720.0,1.0,12266.774853719076,0.9083568854629993
1,21,14720.0,1.0,12343.000703226726,0.907569112504522
1,22,14720.0,1.0,11744.26128303528,0.8870742417623599
1,23,14720.0,1.0,11942.216257629394,0.8990006818373998
1,24,14720.0,1.0,11425.761528422037,0.8831505910058817
1,25,14720.0,1.0,12138.807093302408,0.909410852988561
1,26,14720.0,1.0,12313.382391255696,0.9046025567750136
1,27,14720.0,1.0,12270.726005706787,0.9105274664858977
1,28,14720.0,1.0,12619.987141723634,0.9234963902831077
1,29,14720.0,1.0,12434.732614949544,0.921209723452727
1,30,14720.0,1.0,12701.00937072754,0.9274872869749864
1,31,14720.0,1.0,11699.591233698528,0.8855294396231572
1,32,14720.0,1.0,12350.773537012736,0.9109823176016411
1,33,14720.0,1.0,12320.597683029175,0.91952037413915
1,34,14720.0,1.0,12134.741671218871,0.9075599154084921
1,35,14720.0,1.0,12778.046550572713,0.928239730745554
1,36,14720.0,1.0,12356.284674809775,0.920068358257413
1,37,14720.0,1.0,12399.065324045818,0.9140537934005261
1,38,14720.0,1.0,12284.922836252848,0.9132419532040755
1,39,14720.0,1.0,12650.032007141113,0.9293284720182419
1,40,14720.0,1.0,11893.446057434083,0.903074119289716
1,41,14720.0,1.0,12191.803787612915,0.9105815898627043
1,42,14720.0,1.0,12908.03844367981,0.9347236706068118
1,43,14720.0,1.0,12742.019636408488,0.9306881193568309
1,44,14720.0,1.0,12586.778080215454,0.922782274906834
1,45,14720.0,1.0,11767.649143498738,0.8913721676419178
1,46,14720.0,1.0,12167.0173366038,0.9028110584865013
1,47,14720.0,1.0,12710.429347076417,0.9245938152571519
1,48,14720.0,1.0,12463.438662363687,0.9202779859304429
1,49,14720.0,1.0,12561.5408934021,0.9235665697356065
1,50,14720.0,1.0,12524.882905629476,0.9174436110754808
1,51,14720.0,1.0,12540.998612391153,0.9210224740703901
1,52,14720.0,1.0,12134.212869644165,0.9130579215536515
1,53,14720.0,1.0,12478.525782318115,0.9157963828742504
1,54,14720.0,1.0,12594.991461054484,0.92230677994589
1,55,14720.0,1.0,12314.95334701538,0.9115886369844278
1,56,14720.0,1.0,12687.764068247478,0.9202524578074615
1,57,14720.0,1.0,12392.65555671692,0.9198529242475828
1,58,14720.0,1.0,12496.194736073812,0.9189658406376838
1,59,14720.0,1.0,12197.315769958495,0.9178918674588203
1,60,14720.0,1.0,12581.566285629273,0.9198343371103207
1,61,14720.0,1.0,12478.580771153767,0.9149975699186325
1,62,14720.0,1.0,12686.719413426717,0.9186324335386356
1,63,14720.0,1.0,12222.694794235229,0.9081533153851827
1,64,14720.0,1.0,12704.51173207601,0.9311860225598018
1,65,14720.0,1.0,12753.10042427063,0.9306648106624683
1,66,14720.0,1.0,12423.080791015625,0.9195204046368599
1,67,14720.0,1.0,12472.244318822224,0.9195691594233115
1,68,14720.0,1.0,12998.392874832154,0.9385105900218089
1,69,14720.0,1.0,11972.367159754434,0.9023476665963729
1,70,14720.0,1.0,12157.870745442708,0.91120351066192
1,71,14720.0,1.0,12313.875995737711,0.9190331786374251
1,72,14720.0,1.0,11717.359247029623,0.8887043910473585
1,73,14720.0,1.0,12250.197358907064,0.9115143862615029
1,74,14720.0,1.0,12313.125431874592,0.9184197497864565
1,75,14720.0,1.0,12026.940361684163,0.9068616046011448
1,76,14720.0,1.0,12163.689236094157,0.910771406441927
1,77,14720.0,1.0,12166.413368784586,0.9113125896950562
1,78,14720.0,1.0,12302.98637702942,0.916779597128431
1,79,14720.0,1.0,12562.226195627849,0.9180371601879597
1,80,14720.0,1.0,12281.940077006022,0.9134426495681206
1,81,14720.0,1.0,12631.700823440551,0.9241677421579758
1,82,14720.0,1.0,12251.314441223145,0.9048999128987392
1,83,14720.0,1.0,12329.679475606283,0.9156700407465299
1,84,14720.0,1.0,11889.706287816365,0.9004132958004872
1,85,14720.0,1.0,12158.229349339803,0.9100697344789902
1,86,14720.0,1.0,11976.5028444163,0.9014044410983721
1,87,14720.0,1.0,12152.002567138672,0.9099795565009117
1,88,14720.0,1.0,12509.136915156047,0.9156645862509807
1,89,14720.0,1.0,12029.808399327596,0.9057519436130921
1,90,14720.0,1.0,12537.6426856486,0.9268293730417887
1,91,14720.0,1.0,12878.254488423665,0.936784255305926
1,92,14720.0,1.0,11841.02084546407,0.899500274459521
1,93,14720.0,1.0,12232.275956344605,0.9103741942594449
1,94,14720.0,1.0,12361.826176961264,0.9141313852866491
1,95,14720.0,1.0,12329.051205596923,0.9137933279573918
1,96,14720.0,1.0,12131.412903035482,0.9068548190593719
1,97,14720.0,1.0,12483.57807917277,0.9163192908465863
1,98,14720.0,1.0,12409.541625900269,0.9097337960948547
1,99,14720.0,1.0,12654.187473627726,0.9283452100803454
1,100,14720.0,1.0,12388.457096328735,0.914145745659868
